"","SC78_1_factor1","SC78_1_factor2","SC78_1_factor3","SC78_1_factor4","SC78_1_factor5","SC78_1_factor6","SC78_1_factor7"
"1","Malat1","Fth1","mt-Co2","S100a9","S100a9","S100a9","Il1b"
"2","Entpd1","Ccrl2","mt-Co3","Fth1","S100a8","Tmsb4x","S100a9"
"3","Antxr2","Nfkbia","mt-Co1","S100a8","Tmsb4x","Actg1","S100a8"
"4","Spag9","Gadd45b","mt-Atp6","Il1b","Actg1","Srgn","Tmsb4x"
"5","Slc7a11","Cxcl2","mt-Cytb","Srgn","Actb","Il1b","Malat1"
"6","Neat1","Malat1","mt-Nd4","Tmsb4x","G0s2","Cebpb","Fos"
"7","Xylt1","Il1b","mt-Nd2","Cxcl2","S100a6","G0s2","Srgn"
"8","Cd44","Tmsb4x","mt-Nd1","G0s2","Plaur","Malat1","Zfp36"
"9","Il1b","Srgn","Malat1","Actg1","Retnlg","S100a8","Dusp1"
"10","Srgn","S100a9","mt-Nd5","Cebpb","S100a11","Actb","Fth1"
"11","Chst11","Cd14","S100a9","Malat1","Malat1","Ftl1","Junb"
"12","S100a9","Cebpb","Actb","Nfkbia","Cxcl2","Fth1","Actb"
"13","Sgms2","Zeb2","Actg1","Ccrl2","Cebpb","Il1r2","Ftl1"
"14","Hdc","Il1rn","S100a8","Actb","Srgn","Eif1","Msrb1"
"15","Il1r2","Marcksl1","Srgn","Irg1","Ftl1","Dusp1","Actg1"
"16","G0s2","Actb","Tmsb4x","Zeb2","Fth1","Cd44","Csf3r"
"17","Alcam","G0s2","Gm42418","Junb","Eif1","S100a11","Cebpb"
"18","Cmip","Actg1","Rbm39","Cd14","Sgms2","Btg1","Dennd4a"
"19","Cebpb","Ftl1","Fth1","Dusp1","Lyz2","H3f3b","Il1r2"
"20","Nedd9","Irg1","Neat1","Eif1","Lgals3","Msrb1","Picalm"
"21","Plek","Junb","Tnrc6b","Plek","Il1b","Tyrobp","S100a11"
"22","Sik3","Eif1","Cd44","Ftl1","Antxr2","Junb","Mxd1"
"23","Tpd52","Pim1","Ccnd3","Btg1","Xylt1","Spag9","Lst1"
"24","Zeb2","Birc3","Arhgap15","Mxd1","Tyrobp","Entpd1","Ptprc"
"25","Clec4d","Ifrd1","Srrm2","Nfkbiz","Sik3","Cd9","Mcl1"
"26","Atp2b1","Plek","Il1b","Cd44","Cd44","Hdc","Btg2"
"27","Btbd9","Nfkb1","Dennd4a","Rnf149","Nedd9","Plek","Tyrobp"
"28","Lilrb4a","Ifitm2","Hdc","Pim1","Entpd1","Slc16a3","Fau"
"29","Arhgap15","Spag9","Dock2","S100a11","Slc16a3","Fxyd5","Ncf2"
"30","S100a8","Nfkbiz","Mir142hg","Hdc","Alcam","H2-D1","Kpna4"
"31","Dock2","Dusp1","Cebpb","Clec4d","Pfn1","Antxr2","Klf2"
"32","Ankrd33b","Kdm6b","Kmt2e","Msrb1","H3f3a","Litaf","Rps9"
"33","Dennd4a","Nlrp3","Cdk2ap2","Tyrobp","Cd14","Pim1","S100a6"
"34","Cd9","Tyrobp","Litaf","Il1rn","Ccl6","Clec4d","Lcp1"
"35","Lyn","Clec4e","Ftl1","H2-D1","Cd9","Lmnb1","Neat1"
"36","Lmnb1","Btg1","Mef2a","Sgms2","Msrb1","Ifitm2","Btg1"
"37","Picalm","Tnfaip3","Clec4e","Entpd1","Tpt1","H3f3a","H2-D1"
"38","Sorl1","Mcl1","Plek","Ptgs2","Btbd9","S100a6","Ubb"
"39","Kpna4","Pde4b","Cmip","S100a6","Spag9","Sgms2","Eif1"
"40","Samsn1","H3f3b","Cd14","Csf3r","Arpc3","Chst11","Retnlg"
"41","Pik3ap1","Msrb1","Ankrd44","Clec4e","Gapdh","Cd14","G0s2"
"42","Litaf","Dennd4a","Entpd1","Kdm6b","H2-D1","Xylt1","Stk17b"
"43","Rnf149","H2-D1","Itsn2","Nlrp3","Btg1","Plaur","Taldo1"
"44","Pde7b","S100a11","S100a11","Marcksl1","Fau","Mxd1","Hdc"
"45","Ptprc","Mxd1","Runx1","Cd9","H3f3b","Fau","Litaf"
"46","Ptgs2","Ptafr","Arid4a","Irak2","Fxyd5","Tpd52","Gpcpd1"
"47","Dusp1","Tnfaip2","Elmo1","Ifitm2","Fcer1g","Cxcl2","Jund"
"48","Baz2b","Pik3ap1","Ssh2","Btg2","Coro1a","Csf3r","Sorl1"
"49","Mxd1","Irak2","Ptprc","Mcl1","Cdc42","Ets2","Lyst"
"50","Dusp16","Hdc","Fam49b","Slc7a11","Arpc2","Ndel1","H3f3a"
"51","Cxcl2","H3f3a","G0s2","Litaf","Arhgap15","Neat1","Fxyd5"
"52","Actg1","Cd9","Iqgap1","H3f3b","Ndel1","Mcl1","Tpd52"
"53","Gcnt2","S100a8","Dock11","Lcp1","Itm2b","Alcam","Gcnt2"
"54","Ndel1","Lmnb1","Lilrb4a","Arg2","Cmip","Lst1","Rnf149"
"55","Nfkbiz","Bcl2a1b","Pcbp2","Spag9","Mcl1","Ptprc","Tmcc1"
"56","Junb","Rnf149","Rasa3","Nfkb1","Sp140","Btg2","Lmnb1"
"57","Rabgef1","Mapkapk2","H2-D1","H3f3a","Ifitm2","Ccr1","Arg2"
"58","Igf1r","Csf3r","Irak2","Ets2","Cfl1","Rps9","Txn1"
"59","Lyst","Ddx5","Sp100","Antxr2","Grina","Slc7a11","Slc7a11"
"60","Plaur","Litaf","Luc7l2","Ptprc","Txn1","Fcer1g","Fam65b"
"61","Osbpl9","Ehd1","Ddx3x","Fxyd5","Rac2","Cmip","Lsp1"
"62","Rab8b","Ier5","Itga4","Dusp16","Mxd1","Trem1","Ptgs2"
"63","Ptprj","Fau","Msra","Ptprj","Junb","Tpt1","H3f3b"
"64","Fam134b","Ccl3","Antxr2","Il1r2","Litaf","Ddx5","Fcer1g"
"65","App","Lst1","App","Lmnb1","Plek","Emilin2","Plek"
"66","Pbx1","Ptgs2","Tpd52","Tpd52","Cd52","Plk3","Cxcr2"
"67","Irg1","Ptprj","Lamp2","Dennd4a","Baz2b","Samsn1","Cd44"
"68","Cyth1","Icam1","Dock5","Pde4b","Clec4d","Ncf2","Iqgap1"
"69","Irak2","Il1r2","Slc7a11","Samsn1","Mrpl33","Ankrd33b","Xylt1"
"70","Slc16a3","Rps9","S100a6","Slc16a3","Rps9","Isg15","Zfp36l2"
"71","Btg1","Ankrd33b","Tyrobp","Birc3","Cyth1","Sik3","Ccrl2"
"72","Ets2","Btg2","Cxcl2","Gadd45b","Chst11","Arpc3","Coro1a"
"73","Braf","Clec4d","Igf1r","Chst11","Lmnb1","Rnf149","Ifitm2"
"74","Lilr4b","Dusp2","Zeb2","Trem1","Tpm4","Jund","Ndel1"
"75","Pim1","Ets2","Junb","Ifrd1","Fam107b","Sorl1","Ddx5"
"76","Gab2","Chst11","Arih1","Ptafr","Notch2","Lcp1","Entpd1"
"77","Arih2","Arg2","Coro1a","Neat1","Taldo1","Taldo1","Hp"
"78","Pde4b","Fcer1g","Gls","Lilrb4a","Irg1","Mir142hg","Skap2"
"79","Btg2","Tnfrsf1b","Ptprj","Tnfaip2","Btg2","Dennd4a","Atf3"
"80","Mir142hg","Rab8b","Atp2b1","Marcks","Dusp1","Kpna4","Ccl6"
"81","Ralgapa1","Erbb2ip","H3f3b","Fcer1g","Gnai2","Irg1","Cd9"
"82","Elmo1","Cd44","Sorl1","Ddx5","Rhoa","Braf","Anxa2"
"83","Ctnnb1","Samsn1","Ankrd33b","Pik3ap1","Lsp1","Fgl2","Igf1r"
"84","Mctp1","Pfn1","Son","Zfp36","Hp","Osbpl9","Cmip"
"85","Kdm6b","Abtb2","Pde4b","Actr3","Rab7","Kdm6b","Marcks"
"86","Gm42418","Jund","Pbx1","Mapkapk2","Mgst1","Txn1","Pim1"
"87","Cyp4f18","B2m","Lyn","Plaur","Lyst","Atp2b1","Svil"
"88","Zcchc6","Ncf1","Basp1","Ehd1","Hdc","Osm","Arhgap15"
"89","Emilin2","Lcp1","Cd9","C5ar1","Myl6","Lilrb4a","Fgl2"
"90","Mcl1","Tpt1","Mrpl33","Rps9","Arpc5","Btbd9","Fam49b"
"91","Vmp1","Hcar2","Samsn1","Ier3","Ncf2","Tnfaip2","Pbx1"
"92","Chd2","Ier3","Tlr4","Ndel1","Il1r2","Mrpl33","Hmgb2"
"93","Ell2","Cd52","Nptn","B2m","Arhgdib","Etf1","Itgal"
"94","Ccr1","Nr4a1","Laptm5","Mir142hg","Trem1","Ctnnb1","Snap23"
"95","Ccnl1","Marcks","Dusp1","Vasp","Mcemp1","Ptgs2","Pglyrp1"
"96","Slc15a3","C5ar1","Osbpl8","Adgre5","Lcp1","Trib1","Klf6"
"97","Trps1","Zfp36","Tnfaip2","Jund","Picalm","Gab2","Fcgr3"
"98","Ago2","Ctsz","Csde1","Lst1","Pim1","Rab7","Adgre5"
"99","Myo1d","Rel","Spag9","Snap23","Map2k4","Fosl2","B2m"
"100","Lrrc8d","Hspa5","Crebbp","Taldo1","Slc7a11","Cd53","Gm42418"
"101","Csf3r","Neat1","Tpt1","Emilin2","Cyba","Vps37b","Antxr2"
"102","Rap1gap2","Rps29","Stk17b","Fgr","Pglyrp1","Coq10b","Cd84"
"103","Fosl2","Rap1b","Nedd9","Ier5","Pafah1b1","March7","Grina"
"104","Arg2","Ptprc","Dgkd","Fau","Lyn","Grina","Itm2b"
"105","Rab7","S100a6","Ppp3ca","Rab8b","Prdx5","Picalm","Lyn"
"106","Tnfrsf1b","Slc7a11","Ptpn1","2810474O19Rik","Arpc1b","Tpm4","Ddx6"
"107","Fth1","Ninj1","Gng5","Nedd9","Ddx5","Adgre5","Stat3"
"108","Actr3","Nab1","Camk1d","Tnfaip3","Adam8","Pla2g7","Samhd1"
"109","Mapkapk2","Fxyd5","Ddx5","Txn1","Rap1b","Csrnp1","Map3k5"
"110","Sp140","Vasp","Lnpep","Xylt1","Ier2","Sdcbp","Osbpl9"
"111","Trib1","Arpc2","Kmt2c","Cmip","Fam49b","Gabarap","Sh2d3c"
"112","Cd53","Fgr","Hmha1","Abtb2","Myl12b","Rabgef1","Cxcr4"
"113","Inpp5d","Snap23","Actr3","Sorl1","Ptprc","Fos","Sat1"
"114","Tpm4","Tpd52","Rps27a","Ell2","Neat1","Tgm2","Samsn1"
"115","Vps37b","Rps27","Dyrk1a","Trib1","Cotl1","Ell2","Tgfbi"
"116","Fam65b","Atp2b1","Rtn3","Pnrc1","Gabarap","Alox5ap","Etf1"
"117","Eml1","Btbd9","Dock8","Ncf2","Ccr1","Pfn1","Anxa1"
"118","Abtb2","Zc3hav1","Abi1","Tnfrsf1b","Ets2","Cd52","Pla2g7"
"119","Camk1d","Ncf4","Chd4","Slc15a3","Mmp9","Pnrc1","Trem1"
"120","Lcp1","Rac2","Xylt1","Rabgef1","Anxa1","Gcnt2","Pfn1"
"121","Actb","Sgms2","Msrb1","Atp2b1","Actr3","Zfp36","Zyx"
"122","Smox","Fbxo11","Ago2","Gcnt2","Mir142hg","Lyn","Clec4d"
"123","March7","Cfl1","Gnb1","Ccr1","Snx18","Egr1","Celf2"
"124","Nlrp3","Trem1","Il1r2","Lilr4b","Selk","Itm2b","Gadd45a"
"125","Mirt1","Txn1","Zfand3","Rap1b","App","Fem1c","Rap1b"
"126","Anxa11","Arpc3","Rps9","H2-K1","Son","Nudt4","Gm5150"
"127","Osm","Alox5ap","Diaph1","Picalm","Pbx1","Cyp4f18","March7"
"128","Ddx3x","Tgm2","Mta3","Lsp1","Cyp4f18","Arg2","Mbnl2"
"129","Egr1","Adgre5","1700112E06Rik","Grina","Pkm","D8Ertd738e","Alox5ap"
"130","Fbxl5","Kpna4","Uvrag","Lyn","Ptprj","Iqgap1","Dock2"
"131","Il1rap","Cyba","Rplp1","Iqgap1","Ankrd33b","Clec4e","Gnai2"
"132","Nup98","Slc16a3","Gpcpd1","Gabarap","Pitpna","Ccnl1","Pag1"
"133","Ncf2","Gabarap","Pcmtd1","Ninj1","Lrrfip1","Lilr4b","Nfkbiz"
"134","Rbms1","Camk1d","H3f3a","Ddx3x","Ube2d3","Il1rn","Ltb"
"135","Ddx6","Rabgef1","Rps16","Fgl2","Alox5ap","Lsp1","Nr4a1"
"136","Fbxo11","H2-K1","Rock2","Nadk","Map1lc3b","Fam134b","Rps27"
"137","Fem1c","Actr3","Notch2","Nr4a1","Trib1","Sp140","Mmp9"
"138","Fndc3b","Nr4a3","Zhx2","Tpt1","Slc11a1","Cyth1","Tnfaip2"
"139","Etf1","Entpd1","Med13l","Ctnnb1","Fus","Actr3","Ccr1"
"140","Aff4","Lcp2","Fau","Rel","Diaph1","B2m","Spi1"
"141","Mbnl2","Sema4d","Lst1","Ankrd33b","Clic1","Baz2b","Sfxn5"
"142","Zswim6","Coro1a","Gab2","Pfn1","Sorl1","Pik3ap1","Ier5"
"143","Wnk1","Fgl2","Top1","Nfe2l2","Rock1","Rap1b","Selplg"
"144","Usp32","Serf2","Ube2d3","Mrpl33","Lilrb4a","Tnfrsf1b","Fgr"
"145","Ptafr","Arpc1b","Rpl41","Hp","Jund","Anxa2","Lilrb4a"
"146","2810474O19Rik","Cdc42","Baz2b","Snx20","Emilin2","Snap23","Usp32"
"147","Gtdc1","Mir142hg","Myo1f","Cap1","Dhrs9","Selk","Atg3"
"148","Ifrd1","2810474O19Rik","Csf3r","Sik3","Actr2","Arpc2","Cap1"
"149","Tnrc6b","Zfand3","Rap1gap2","Ncf1","Cytip","Wnk1","Mapkapk2"
"150","Eif1","Lilrb4a","Dennd5a","Spi1","Pitpnc1","Sepn1","Gadd45b"
"151","Fxyd5","Bcl2a1d","Whsc1l1","Pla2g7","H2-K1","Cxcr4","Il1rap"
"152","Suco","Ppp1r15a","Cyth1","Kpna4","Ptbp3","Por","Hcar2"
"153","Stx11","Myl12b","Rapgef6","Smox","Sh3glb1","Ccl6","Ets2"
"154","Dhrs9","Nadk","Clint1","Dusp2","Anxa2","Ptafr","Tbc1d15"
"155","Notch2","Gm42418","Rps27","Ccnl1","Apbb1ip","C5ar1","Gmfg"
"156","Tlr4","Ccr1","Prkcb","Rab20","Osbpl9","Ier3","Phf21a"
"157","Map2k4","Slfn2","Atp8b4","Pbx1","Anxa11","Arpc1b","Osm"
"158","Fam107b","Coq10b","Alcam","Alox5ap","Serf2","Nedd9","Arpc1b"
"159","Sdcbp","Nfe2l2","Cytip","Baz2b","Rab2a","Ddx6","Psap"
"160","Top1","Traf3","St8sia4","Ddx6","Dock2","Myl6","Arpc2"
"161","Plk3","Cst3","Lcp1","Cxcr4","Cdk2ap2","Coro1a","Rab8b"
"162","Gnaq","Ell2","Anxa2","Nr4a3","Ubb","Nlrp3","Gabarap"
"163","Gda","Jdp2","Pxn","Alcam","Rnf149","Nfkbiz","Mctp1"
"164","Trem1","Cd300a","Pla2g7","Bcl2a1b","Rps27","Myl12b","Fbxl5"
"165","Cd14","Antxr2","Slc16a3","Hspa5","Tnrc6b","Hp","Cdc42"
"166","Zfand3","Lsp1","Picalm","Tpm4","Agpat9","Slc15a3","Gab2"
"167","Tmsb4x","Ier2","Lmnb1","Coq10b","Eif4g2","Cap1","Pip5k1b"
"168","Sp100","Picalm","Ppp2r5a","Btbd9","Cap1","Inpp5d","Fyb"
"169","Plekhm2","H2-Q7","Braf","Stx11","Mbd2","Tiparp","Gda"
"170","Ppp1r3b","Zc3h12a","Trem1","Snx18","Csf3r","Ier5","Sell"
"171","Tmcc1","Cxcr4","Cspp1","Fosl2","Tpd52","Rps27","Rps27a"
"172","Sntb2","Arhgap15","Nt5c2","Cyp4f18","Samsn1","Mapkapk2","Ssh2"
"173","Ddx5","Osbpl9","Pik3cd","Itm2b","Gng5","Srsf5","Chst11"
"174","Cers6","Emilin2","Ifitm3","Hmgb2","Myh9","Gng5","Myo1f"
"175","Stat3","Plaur","Nfkbid","Fem1c","Lcn2","Ddx3x","Sik3"
"176","Snx18","Sod2","Ctnnb1","Vmp1","Rap1gap2","Tlr4","Cyba"
"177","Stk17b","Ubb","Rfwd2","Trem3","Ezr","Fmnl1","Cytip"
"178","Tra2a","Rbpj","Ncoa2","Igf1r","Gcnt2","Stk17b","Myl12b"
"179","Rab20","Mthfs","Jmjd1c","Cd53","Laptm5","Ppp1r2","Coq10b"
"180","Hif1a","Dusp16","Ets2","Gm42418","Atp6v0e","Kctd12","Rps29"
"181","Cdk17","Rhoa","Fam107b","Coro1a","Msra","Smox","Kras"
"182","Pum2","Malt1","Ndel1","Arpc2","Iqgap1","Arpc5","Trps1"
"183","Ogt","Gmfg","Mcl1","Erbb2ip","Rps27a","Ptprj","Elmo1"
"184","Snap23","Rab11fip1","Zfp36l2","Retnlg","Igf1r","Hectd1","Map1lc3b"
"185","Cd80","Cd53","Btg2","Gmfg","Fosl2","Gmfg","Ccnl1"
"186","Svil","Taldo1","Serf2","Cd52","Zyx","Vmp1","Nup98"
"187","Dgat1","Pnrc1","Cul3","Neurl3","Gm42418","Map1lc3b","Plaur"
"188","Tnrc18","Itm2b","Bcas3","Isg15","Dusp5","Myo1d","Ipcef1"
"189","Tiparp","Gpr132","Lrrk2","Arih2","Plin2","Gm42418","Arhgdib"
"190","Skap2","Cmip","Cd53","Ncf4","Lamp2","Ubc","Ptafr"
"191","Sema4d","Fosl2","Mctp1","Gpr132","Fyb","Jdp2","Mctp2"
"192","Tgoln1","Sorl1","Cux1","Sema4d","Cd53","Arih2","Cd300lf"
"193","Runx1","Samhd1","Inpp5d","Hcar2","Hectd1","Emd","Ankrd33b"
"194","Bcl2l11","Mrpl33","Eif1","Sp140","Sdcbp","Itgal","H2-K1"
"195","Clk1","Hck","Prex1","Rab7","Morf4l1","Ctsd","Emilin2"
"196","Arhgap26","Pla2g7","Actr2","App","Psap","Adam8","Emb"
"197","Cd300lf","Skil","Pim1","Ccl6","Atp2b1","Serf2","Arhgap26"
"198","Hectd1","Ccnl1","Fxyd5","Tgoln1","Smox","Zyx","Slc16a3"
"199","Msra","Sik3","Pfn1","Rac2","Wbp1l","Hcar2","Il17ra"
"200","H2-D1","Trib1","Hnrnpa2b1","Gnai2","Pik3ap1","Gnai2","Amica1"
"201","Trem3","Card19","Atp6v0d1","Slc11a1","Jdp2","Kras","Cers6"
"202","Fos","Slc15a3","Rap1b","Adam17","Prkcb","Igf1r","Tmem164"
"203","4932438A13Rik","Iqgap1","Tmem234","Cd300a","Sh3bgrl3","Anxa11","Apbb1ip"
"204","Npepps","Isg15","Osbpl9","Rab11fip1","Arf5","Ppp1r15a","Akap13"
"205","Por","Cox8a","Cd300a","Cyba","Ap2b1","Cyba","Ptbp3"
"206","Fnip1","Ddx3x","Suco","Osm","Zcchc6","Rac2","Serinc3"
"207","Diaph1","Rab7","Trib1","Nudt4","Itpkb","Spi1","Myl6"
"208","Basp1","Ctsd","Myl12b","Sell","Sept7","Mirt1","Tpt1"
"209","Il1rn","Calm2","Tpm4","Slfn2","Prr13","Irak2","Ncor1"
"210","Rbpj","Ntng2","Hectd1","Lyst","Fmnl1","Tgoln1","Ppt1"
"211","Gfod1","Bcl3","Vps37b","Arpc1b","Ube2b","2810474O19Rik","Zfand5"
"212","Clec4e","Cap1","Smox","Itgb2","Emb","Rab20","Suco"
"213","Marcks","Myl6","Msn","March7","Kdm7a","Suco","Egr1"
"214","Itgal","Arf4","Nfia","Mmp9","Spi1","Ier2","Prdx5"
"215","Sepn1","Pak1","Fndc3b","Mcemp1","Cltc","Hmgb2","Cd52"
"216","S100a6","Jak2","Fyb","Fam134b","Eif4a1","Cdc42","Fam32a"
"217","Map3k5","Arih2","Cdk17","Fos","Flna","Il1rap","2810474O19Rik"
"218","Sh2d3c","Ctnnb1","Ankhd1","Skil","Capza1","Dhrs9","Prr13"
"219","Serinc3","Spi1","Usp9x","Notch2","Glrx","Cd300lf","Bcl6"
"220","Tes","Anxa2","Jund","Etf1","Fam134b","Dusp5","Vav3"
"221","Jdp2","Ndel1","Xpr1","Lcn2","Cstb","Atp6v0d1","Braf"
"222","Ier3","Tgif1","Irg1","Lpcat2","Nudt4","Ralgapa1","Fam134b"
"223","Pag1","Csrnp1","Pip4k2a","Myl12b","Rabgef1","Slc11a1","Dhrs7"
"224","Gpcpd1","Txnrd1","Fam134b","Pglyrp1","Vps37b","Zcchc6","Ptpre"
"225","Syk","Gng5","Sqstm1","Por","Ddx3x","Gm43661","Ptpn12"
"226","Rab44","Map4k4","Tpm3","Ppp1r15a","Osm","Lamp2","Nedd9"
"227","Tnfaip2","Bcl2l11","Celf2","Arpc3","Cdk17","Sp100","Themis2"
"228","Lamp2","Dock2","Gabarap","Tgm2","Ctnnb1","Ptp4a1","Tspan13"
"229","Gsap","Grb2","Kras","Osbpl9","Shfm1","Cotl1","Cd300a"
"230","Gm26740","Fem1c","Chst11","Anxa2","Stx11","Tspan13","Rac2"
"231","Sbno1","Vps37b","BC005537","Mrgpra2b","Kctd12","Sh2d3c","AF251705"
"232","Isy1","Gpbp1","Mapk14","Basp1","Rab8b","Calm2","Ube2h"
"233","Rlf","Dnaja1","DHRSX","Tax1bp1","Inpp5d","Diaph1","Myh9"
"234","Ccrl2","Fos","Plcl2","1700112E06Rik","Pnrc1","Mbnl2","Il1f9"
"235","Atp6v0d1","Ddx6","Cap1","Itgal","4932438A13Rik","Fam65b","Mtus1"
"236","March3","Neurl3","Mxd1","Mgst1","Adipor1","4833407H14Rik","Alcam"
"237","Lamb3","Lilr4b","Wnk1","Arpc5","C5ar1","Basp1","Dusp16"
"238","Homer1","Asprv1","Phf21a","Fmnl1","Wfdc21","Selplg","Ube2b"
"239","1700112E06Rik","Ppp1r2","Dstn","Hck","Oaz1","Arhgdib","Kdm7a"
"240","Iqgap1","Nfkbie","Asap1","Zc3h12a","Ostf1","Ifrd1","Rab7"
"241","Smchd1","Jak1","Eif5","Ppp1r2","Ell2","Sbno1","Tsc22d3"
"242","Tgm2","Themis2","Rab20","Ralgapa1","Aldoa","Ccrl2","Ypel3"
"243","Nfe2l2","Rbm39","Pten","Tlr2","Ehd1","Atf3","Prkcb"
"244","Celf2","Msn","Lyst","Gsap","Mctp1","Cox8a","Pilra"
"245","Eea1","Optn","Fgd4","Zcchc6","H2afj","Cdkn1a","Ppp1r2"
"246","Klf3","Gnai2","Nr4a1","Ifitm1","Stk17b","Hnrnph2","Syk"
"247","Jund","Eif5","Parp8","Cfl1","Snap23","AW011738","Ptpn6"
"248","Klhl2","Gna13","Arid4b","Gm5150","Fbxl5","Lyst","Baz2b"
"249","Kctd12","Cytip","Jak1","Themis2","Hnrnpk","Gm5150","Gm43661"
"250","Ankrd44","Tax1bp1","Cmss1","Mirt1","Jak1","H2-K1","Laptm5"
"251","Sf3b1","Rab20","Cr1l","Cd300lf","Syk","Nup98","Atp2b1"
"252","Grina","Adam17","Rpl23","Ctsd","B2m","Ube2b","Sgms2"
"253","Sec24b","Xylt1","B2m","Map1lc3b","Vasp","Atp6v0e","Rap1gap2"
"254","Rbm39","Ube2d3","Gnaq","Nfkbie","Lst1","Sat1","Mgst1"
"255","Pdlim5","Klf6","Zswim6","Cdk2ap2","Ctsd","Cstb","Lyz2"
"256","Gm43661","Srsf5","Dhrs9","Anxa1","Lilr4b","Tlcd2","Nadk"
"257","Lrrfip1","Grina","Baz1a","Rbms1","Tmbim6","Ppp1r3b","Pkm"
"258","Hcar2","Basp1","Arpc3","Dnaja1","Sepn1","Serinc3","Anxa11"
"259","Slc16a6","Igsf6","Hnrnpc","Trps1","Slc25a3","Slc25a3","Cask"
"260","Sat1","Mirt1","2810474O19Rik","Arhgap15","Tuba1c","Pbx1","Tmbim6"
"261","Adam17","Etf1","Nipbl","Il1f9","Ccnl1","Skap2","Fgd4"
"262","Klra2","Tlr2","Slfn2","Ier2","D8Ertd738e","Samhd1","Sdcbp"
"263","C5ar1","Lyn","Ppp6r3","Sat1","Elmo1","Adipor1","Ncf4"
"264","Mctp2","Sh3bgrl3","Hp","Pde7b","Plk3","Csf2ra","Abtb2"
"265","Vps4b","Fam134b","Dgat1","Kctd12","Klra2","Pde7b","C5ar1"
"266","C130026I21Rik","Cd274","Erbb2ip","Irak3","Kpna4","Ago2","Klf3"
"267","Nr4a3","Dusp5","Ccl6","Fbxl5","Dennd4a","Ptk2b","Rsrc2"
"268","Nrd1","Fndc3b","Cdk13","Fbxo11","Arg2","Ubb","Whsc1l1"
"269","Ipcef1","Tmbim6","Itpkb","Pkm","Ralgapa1","Sell","Ddit3"
"270","Slfn4","Snx18","Cdc42","Selplg","Klhl2","Pglyrp1","Ier2"
"271","Erbb2ip","Fas","Ankrd12","Csrnp1","Etf1","Smchd1","Pygl"
"272","Dennd1b","Susd6","Nudt4","Relb","Map3k5","Map2k4","Ddx3x"
"273","DHRSX","Gnb1","Far1","Bcl2l11","Gm26740","Eif4a1","Cd53"
"274","Crem","Gpcpd1","Rpl39","Cxcr2","Trf","Nfe2l2","Raf1"
"275","Gm16194","N4bp1","C5ar1","Adam8","1110008F13Rik","Csf2rb","Vasp"
"276","Myh9","Ncf2","Arid5b","Sdcbp","Samhd1","Dgat1","Actr3"
"277","Dopey2","Prdx5","Ptpn12","Cd24a","Arf1","Cdk2ap2","Lamp2"
"278","H3f3b","Calm1","H2afz","Cyth1","Clint1","Marcks","Clk1"
"279","Arpc3","Arhgdib","Rab21","Cotl1","Snx3","Tnfrsf1a","Slc40a1"
"280","Optn","Ptbp3","Pik3ap1","Gpcpd1","Gmfg","Cfl1","Cd101"
"281","Cap1","Rbms1","Rock1","Casp4","Egr1","Klf3","Jak1"
"282","Prkcb","Irak3","Stag2","Gng5","Celf2","Clic1","Rpl37"
"283","Dusp5","Cstb","Chd7","Cd274","Gnai3","Anxa1","Rab11fip1"
"284","Ptbp3","Smox","Mark2","Srsf5","Nlrp3","Itgb2","Stk38"
"285","Pias1","Mbnl2","Emilin2","Lcp2","Ppp3ca","Trem3","Rabgef1"
"286","Dhx40","Hp","Arhgap30","Tnrc18","Tnrc18","Cltc","Notch2"
"287","Ezr","Cdk2ap2","Ifngr1","Jdp2","Tspo","Ypel3","Kdm6b"
"288","Acss2","Slc2a6","Itgb2","N4bp1","Cst3","Per1","Tpm4"
"289","Nudt4","Map1lc3b","Vps54","Atg3","Hmgb2","Sntb2","Nisch"
"290","Cfap43","Map3k5","Atp1b3","Lrrfip1","Srsf5","Cox17","Txnip"
"291","Arih1","Maff","Kdm6b","Plk3","Rnf11","Arhgap15","Lrg1"
"292","Vasp","Cd80","Flna","Rhog","Tes","Atp6v1g1","Arpc3"
"293","Gpbp1","Map2k3","Ambra1","Gm5483","Cfap43","Aff4","Csf2ra"
"294","Rdh12","Il10ra","Rnf149","Capzb","2810474O19Rik","Glrx","Slfn2"
"295","Cask","Ube2b","Cdkn1a","Map3k5","Zfand3","Tmbim6","Ogt"
"296","Nktr","Ctsb","Rbm25","Map2k3","Vav3","Chmp4b","Sephs2"
"297","Rab1a","Bcl2a1a","Runx2","Pilra","Ywhaz","Ifitm1","Gng5"
"298","Coq10b","Gm2a","Atg7","Gab2","Ncor1","Vps4b","Cyp4f18"
"299","Arl15","Gm5150","Zdhhc18","Anxa11","Fbxo11","Themis2","Hdac4"
"300","Fmnl1","Cotl1","Zcchc6","Sf3b1","Slc22a15","Ube2d3","Ttc7"
